"Story","Title","Result","Date","Stability","Duration (s)"
"List of users scenario","Verify one user from the List the users - Get request","SUCCESS","2019-09-14T00:20:35.918+01:00[Europe/London]","0.0","2.95"
"List of users scenario","Make a new Post - Post request","SUCCESS","2019-09-14T00:20:38.877+01:00[Europe/London]","0.0","0.52"
"List of users scenario","Comment on a Post - Put Request","SUCCESS","2019-09-14T00:20:39.4+01:00[Europe/London]","0.0","0.58"
